,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.89,7227,7263.5,7263.5,7154,7227,7300,7081,7227,5511.5,5073.5,5511.5,5073.5
0.9,7227,7263.5,7263.5,7154,7227,7300,7081,7227,5730.5,5292.5,5730.5,5292.5
0.91,7227,7263.5,7263.5,7154,7227,7300,7081,7227,5949.5,5475,5949.5,5475
0.92,7227,7263.5,7263.5,7154,7227,7300,7081,7227,6205,5730.5,6205,5730.5
0.93,7227,7263.5,7263.5,7154,7227,7300,7081,7227,6497,5986,6497,5986
0.94,7227,7263.5,7263.5,7154,7227,7300,7081,7227,6862,6314.5,6862,6314.5
0.95,7227,7263.5,7263.5,7154,7227,7300,7081,7227,7263.5,6679.5,7263.5,6679.5
0.96,7227,7263.5,7263.5,7154,7227,7300,7081,7227,7263.5,7117.5,7263.5,7117.5
0.97,7227,7263.5,7263.5,7154,7227,7300,7081,7227,7263.5,7117.5,7263.5,7117.5
0.98,7227,7263.5,7263.5,7154,7227,7300,7081,7227,7263.5,7117.5,7263.5,7117.5
0.99,7227,7263.5,7263.5,7154,7227,7300,7081,7227,7263.5,7117.5,7263.5,7117.5
